Cell_Index,Sample_Tag,Sample_Name
209186,Multiplet,Multiplet
146696,SampleTag02_hs,SampleTag02_hs
143738,Multiplet,Multiplet
200614,Multiplet,Multiplet
75282,Multiplet,Multiplet
532808,Multiplet,Multiplet
204912,Multiplet,Multiplet
540347,Multiplet,Multiplet
455067,Multiplet,Multiplet
214734,Multiplet,Multiplet
554056,Multiplet,Multiplet
458167,Multiplet,Multiplet
15943,Multiplet,Multiplet
538425,Multiplet,Multiplet
587824,Multiplet,Multiplet
458609,Multiplet,Multiplet
463616,Multiplet,Multiplet
740056,Multiplet,Multiplet
350641,SampleTag02_hs,SampleTag02_hs
620160,Multiplet,Multiplet
457672,Multiplet,Multiplet
302405,Multiplet,Multiplet
81845,Multiplet,Multiplet
460662,Multiplet,Multiplet
860576,Multiplet,Multiplet
279730,Multiplet,Multiplet
73985,SampleTag01_hs,SampleTag01_hs
452609,Multiplet,Multiplet
77535,SampleTag01_hs,SampleTag01_hs
82579,SampleTag02_hs,SampleTag02_hs
454212,SampleTag02_hs,SampleTag02_hs
459722,SampleTag02_hs,SampleTag02_hs
454691,SampleTag01_hs,SampleTag01_hs
462642,Multiplet,Multiplet
350575,Multiplet,Multiplet
203289,Multiplet,Multiplet
451142,Multiplet,Multiplet
273295,Multiplet,Multiplet
75663,Multiplet,Multiplet
776617,Multiplet,Multiplet
306301,Multiplet,Multiplet
824850,Multiplet,Multiplet
663147,Multiplet,Multiplet
622318,Multiplet,Multiplet
540321,SampleTag03_hs,SampleTag03_hs
81204,Multiplet,Multiplet
583588,SampleTag01_hs,SampleTag01_hs
564164,Multiplet,Multiplet
205683,Multiplet,Multiplet
504340,Multiplet,Multiplet
584271,Multiplet,Multiplet
474803,SampleTag01_hs,SampleTag01_hs
453942,Multiplet,Multiplet
252433,Multiplet,Multiplet
625672,Multiplet,Multiplet
31397,SampleTag01_hs,SampleTag01_hs
329638,Multiplet,Multiplet
582297,Multiplet,Multiplet
460040,Multiplet,Multiplet
564953,Multiplet,Multiplet
460159,Multiplet,Multiplet
281836,Multiplet,Multiplet
102122,Multiplet,Multiplet
570121,SampleTag03_hs,SampleTag03_hs
259345,Multiplet,Multiplet
270271,SampleTag02_hs,SampleTag02_hs
192533,Multiplet,Multiplet
554639,Multiplet,Multiplet
619816,SampleTag03_hs,SampleTag03_hs
257451,SampleTag01_hs,SampleTag01_hs
193527,Multiplet,Multiplet
74666,SampleTag02_hs,SampleTag02_hs
562632,SampleTag02_hs,SampleTag02_hs
661925,Multiplet,Multiplet
575526,Multiplet,Multiplet
147579,SampleTag02_hs,SampleTag02_hs
525519,SampleTag03_hs,SampleTag03_hs
561728,Multiplet,Multiplet
653172,Multiplet,Multiplet
541686,SampleTag03_hs,SampleTag03_hs
646174,SampleTag03_hs,SampleTag03_hs
500611,Multiplet,Multiplet
82357,SampleTag01_hs,SampleTag01_hs
354219,Multiplet,Multiplet
435936,Multiplet,Multiplet
588689,SampleTag03_hs,SampleTag03_hs
203381,Multiplet,Multiplet
561655,Multiplet,Multiplet
589681,Multiplet,Multiplet
618742,Multiplet,Multiplet
398307,Multiplet,Multiplet
883321,Multiplet,Multiplet
609626,SampleTag02_hs,SampleTag02_hs
588318,SampleTag02_hs,SampleTag02_hs
316337,Multiplet,Multiplet
565542,Multiplet,Multiplet
503295,Multiplet,Multiplet
254097,SampleTag01_hs,SampleTag01_hs
157968,Multiplet,Multiplet
4693,Multiplet,Multiplet
460349,Multiplet,Multiplet
449426,Multiplet,Multiplet
399652,Multiplet,Multiplet
81995,Multiplet,Multiplet
43293,Multiplet,Multiplet
32056,Multiplet,Multiplet
56149,Multiplet,Multiplet
443134,Multiplet,Multiplet
448083,Multiplet,Multiplet
500297,Multiplet,Multiplet
612187,Multiplet,Multiplet
90950,SampleTag03_hs,SampleTag03_hs
542072,Multiplet,Multiplet
107508,Multiplet,Multiplet
656397,Multiplet,Multiplet
89131,SampleTag02_hs,SampleTag02_hs
493708,Multiplet,Multiplet
457417,Multiplet,Multiplet
558587,SampleTag02_hs,SampleTag02_hs
141662,Multiplet,Multiplet
592875,Multiplet,Multiplet
713039,Multiplet,Multiplet
467238,SampleTag03_hs,SampleTag03_hs
431317,SampleTag02_hs,SampleTag02_hs
583330,SampleTag03_hs,SampleTag03_hs
617036,SampleTag03_hs,SampleTag03_hs
538109,SampleTag02_hs,SampleTag02_hs
357455,SampleTag02_hs,SampleTag02_hs
455563,Multiplet,Multiplet
458015,Multiplet,Multiplet
539908,Multiplet,Multiplet
393557,Multiplet,Multiplet
615827,Multiplet,Multiplet
571333,Multiplet,Multiplet
584553,Multiplet,Multiplet
615933,SampleTag03_hs,SampleTag03_hs
12225,Multiplet,Multiplet
401202,SampleTag03_hs,SampleTag03_hs
174863,Multiplet,Multiplet
525823,SampleTag02_hs,SampleTag02_hs
77016,Multiplet,Multiplet
196229,Multiplet,Multiplet
450789,SampleTag02_hs,SampleTag02_hs
946,Multiplet,Multiplet
356392,SampleTag02_hs,SampleTag02_hs
144951,Multiplet,Multiplet
26714,Multiplet,Multiplet
570,Multiplet,Multiplet
586755,SampleTag01_hs,SampleTag01_hs
330137,SampleTag02_hs,SampleTag02_hs
8455,Multiplet,Multiplet
93327,Multiplet,Multiplet
562640,SampleTag01_hs,SampleTag01_hs
882845,Multiplet,Multiplet
253725,SampleTag03_hs,SampleTag03_hs
459480,SampleTag02_hs,SampleTag02_hs
51099,Multiplet,Multiplet
218076,Multiplet,Multiplet
342778,Multiplet,Multiplet
857,Multiplet,Multiplet
3404,Multiplet,Multiplet
516818,Multiplet,Multiplet
705354,Multiplet,Multiplet
566447,Multiplet,Multiplet
840704,SampleTag02_hs,SampleTag02_hs
541186,SampleTag01_hs,SampleTag01_hs
532009,Multiplet,Multiplet
588322,SampleTag02_hs,SampleTag02_hs
204480,SampleTag02_hs,SampleTag02_hs
532171,Multiplet,Multiplet
104041,SampleTag01_hs,SampleTag01_hs
6314,SampleTag03_hs,SampleTag03_hs
208313,SampleTag03_hs,SampleTag03_hs
20229,Multiplet,Multiplet
841007,Multiplet,Multiplet
569064,SampleTag02_hs,SampleTag02_hs
780690,Multiplet,Multiplet
819498,SampleTag03_hs,SampleTag03_hs
189794,Multiplet,Multiplet
651913,Multiplet,Multiplet
533449,Multiplet,Multiplet
610779,SampleTag02_hs,SampleTag02_hs
723800,SampleTag03_hs,SampleTag03_hs
582101,SampleTag03_hs,SampleTag03_hs
623300,SampleTag02_hs,SampleTag02_hs
140255,Multiplet,Multiplet
91489,Multiplet,Multiplet
355844,Multiplet,Multiplet
577165,Multiplet,Multiplet
661042,Multiplet,Multiplet
860003,Multiplet,Multiplet
549255,Multiplet,Multiplet
351880,Multiplet,Multiplet
76819,SampleTag02_hs,SampleTag02_hs
138823,SampleTag01_hs,SampleTag01_hs
582668,SampleTag02_hs,SampleTag02_hs
405777,SampleTag02_hs,SampleTag02_hs
745060,SampleTag02_hs,SampleTag02_hs
105411,Multiplet,Multiplet
884315,Multiplet,Multiplet
351720,SampleTag03_hs,SampleTag03_hs
355183,Multiplet,Multiplet
206536,Multiplet,Multiplet
613607,Multiplet,Multiplet
320265,Multiplet,Multiplet
603204,Multiplet,Multiplet
475653,Multiplet,Multiplet
16420,SampleTag01_hs,SampleTag01_hs
143108,Multiplet,Multiplet
700035,SampleTag02_hs,SampleTag02_hs
661004,SampleTag03_hs,SampleTag03_hs
614950,Multiplet,Multiplet
369983,SampleTag03_hs,SampleTag03_hs
167135,SampleTag03_hs,SampleTag03_hs
203701,Multiplet,Multiplet
294732,Multiplet,Multiplet
276250,SampleTag02_hs,SampleTag02_hs
229463,Multiplet,Multiplet
162522,Multiplet,Multiplet
618563,SampleTag01_hs,SampleTag01_hs
585125,SampleTag01_hs,SampleTag01_hs
616877,SampleTag02_hs,SampleTag02_hs
674409,Multiplet,Multiplet
524986,SampleTag03_hs,SampleTag03_hs
172663,Multiplet,Multiplet
746716,Multiplet,Multiplet
800117,Multiplet,Multiplet
568778,Multiplet,Multiplet
498789,Multiplet,Multiplet
563810,SampleTag03_hs,SampleTag03_hs
576437,Multiplet,Multiplet
139268,Multiplet,Multiplet
540000,SampleTag03_hs,SampleTag03_hs
484407,Multiplet,Multiplet
622812,Multiplet,Multiplet
479229,Multiplet,Multiplet
588833,SampleTag03_hs,SampleTag03_hs
269964,Multiplet,Multiplet
358715,SampleTag03_hs,SampleTag03_hs
843134,Multiplet,Multiplet
842083,Multiplet,Multiplet
308793,Multiplet,Multiplet
679321,Multiplet,Multiplet
138444,SampleTag03_hs,SampleTag03_hs
508160,SampleTag03_hs,SampleTag03_hs
846453,Multiplet,Multiplet
30552,Multiplet,Multiplet
531941,SampleTag02_hs,SampleTag02_hs
478358,Multiplet,Multiplet
197149,SampleTag01_hs,SampleTag01_hs
579600,Multiplet,Multiplet
