bc,sample,Celltype,Phase
146696,G13,LMPP,S
350641,G13,LMPP,G2M
73985,AZD,LMPP,G2M
77535,AZD,MEP1,S
82579,G13,LMPP,S
454212,G13,LMPP,S
459722,G13,LMPP,S
454691,AZD,LMPP,S
540321,NTC,LMPP,G2M
583588,AZD,MEP1,G2M
474803,AZD,LMPP,S
31397,AZD,LMPP,G2M
570121,NTC,LMPP,G2M
270271,G13,MEP1,G2M
619816,NTC,LMPP,G2M
257451,AZD,LMPP,G2M
74666,G13,LMPP,S
562632,G13,LMPP,S
147579,G13,LMPP,G2M
525519,NTC,LMPP,S
541686,NTC,LMPP,S
646174,NTC,LMPP,G2M
82357,AZD,LMPP,G2M
588689,NTC,LMPP,S
609626,G13,LMPP,S
588318,G13,LMPP,S
254097,AZD,LMPP,S
90950,NTC,LMPP,S
89131,G13,LMPP,S
558587,G13,LMPP,S
467238,NTC,LMPP,G2M
431317,G13,LMPP,S
583330,NTC,LMPP,G2M
617036,NTC,LMPP,G2M
538109,G13,LMPP,S
357455,G13,LMPP,S
615933,NTC,LMPP,S
401202,NTC,LMPP,S
525823,G13,LMPP,G1
450789,G13,MEP1,S
356392,G13,LMPP,G2M
586755,AZD,LMPP,G2M
330137,G13,LMPP,S
562640,AZD,LMPP,G2M
253725,NTC,LMPP,G2M
459480,G13,LMPP,S
840704,G13,MEP1,S
541186,AZD,MEP1,G2M
588322,G13,LMPP,G2M
204480,G13,LMPP,G2M
104041,AZD,LMPP,G2M
6314,NTC,LMPP,G2M
208313,NTC,LMPP,G2M
569064,G13,LMPP,S
819498,NTC,LMPP,G2M
610779,G13,LMPP,S
723800,NTC,LMPP,S
582101,NTC,LMPP,S
623300,G13,LMPP,G2M
76819,G13,LMPP,G2M
138823,AZD,LMPP,S
582668,G13,LMPP,S
405777,G13,LMPP,G2M
745060,G13,LMPP,S
351720,NTC,LMPP,G2M
16420,AZD,LMPP,S
700035,G13,LMPP,S
661004,NTC,LMPP,G2M
369983,NTC,LMPP,G2M
167135,NTC,LMPP,S
276250,G13,LMPP,S
618563,AZD,LMPP,G2M
585125,AZD,LMPP,G2M
616877,G13,MEP1,S
524986,NTC,LMPP,G2M
563810,NTC,LMPP,S
540000,NTC,LMPP,S
588833,NTC,LMPP,G2M
358715,NTC,LMPP,G2M
138444,NTC,LMPP,G2M
508160,NTC,LMPP,S
531941,G13,LMPP,S
197149,AZD,MEP1,S
484177,NTC,LMPP,S
578293,NTC,LMPP,G2M
455421,G13,LMPP,S
550694,G13,MEP1,S
18384,AZD,MEP1,S
448704,NTC,LMPP,G2M
17316,NTC,LMPP,S
268505,G13,LMPP,G2M
576714,NTC,LMPP,G2M
16763,NTC,LMPP,G2M
589220,G13,LMPP,G2M
65249,NTC,LMPP,S
79353,AZD,LMPP,G2M
500418,NTC,MEP1,G2M
580734,AZD,LMPP,S
472336,G13,MEP1,S
412696,NTC,LMPP,S
527486,AZD,LMPP,G2M
268144,NTC,LMPP,S
202705,G13,LMPP,S
13452,G13,LMPP,S
250264,G13,CMP,G2M
589234,G13,LMPP,S
505364,NTC,LMPP,S
502520,G13,LMPP,G2M
587554,G13,MEP1,S
589581,G13,LMPP,G2M
459898,NTC,LMPP,G2M
59207,G13,LMPP,S
80735,G13,MEP1,G2M
257241,AZD,CMP,G2M
590251,AZD,LMPP,S
356818,NTC,LMPP,G2M
394632,AZD,LMPP,G2M
451122,G13,LMPP,G2M
704907,NTC,MEP1,G2M
265933,G13,LMPP,G2M
454792,AZD,LMPP,G1
330139,NTC,LMPP,G2M
24602,NTC,LMPP,S
585353,NTC,LMPP,S
457788,AZD,LMPP,G2M
472488,AZD,LMPP,G2M
712387,NTC,LMPP,S
359183,NTC,LMPP,G2M
207624,NTC,LMPP,S
544156,NTC,LMPP,G2M
270477,NTC,LMPP,S
61670,AZD,LMPP,S
405407,AZD,LMPP,S
554373,AZD,LMPP,S
431718,NTC,LMPP,G2M
462297,NTC,MEP1,S
210746,AZD,LMPP,S
533928,NTC,LMPP,G2M
839212,NTC,LMPP,S
736860,AZD,LMPP,G2M
256550,NTC,LMPP,S
714059,NTC,LMPP,S
711986,AZD,LMPP,S
610799,NTC,LMPP,G2M
814278,G13,LMPP,G2M
611370,NTC,LMPP,S
267108,NTC,LMPP,S
456639,NTC,LMPP,S
146500,G13,LMPP,S
260094,G13,LMPP,S
558186,NTC,LMPP,G1
546955,NTC,LMPP,G2M
204101,NTC,LMPP,S
5488,NTC,LMPP,G2M
57251,NTC,LMPP,G2M
324708,G13,CMP,G2M
353378,AZD,CMP,G2M
74342,AZD,LMPP,G2M
203066,NTC,LMPP,S
1114,G13,LMPP,S
49662,NTC,LMPP,G2M
272903,G13,MEP1,G2M
339301,G13,LMPP,G2M
