,Cells.all_samples.data.
1,93_01_20
2,93_01_35
3,93_01_51
4,93_02_16
5,93_02_53
6,93_02_58
7,93_02_78
8,93_02_84
9,93_02_86
10,93_03_04
11,93_03_82
12,93_03_89
13,93_04_03
14,93_04_05
15,93_04_41
16,93_04_64
17,93_05_12
18,93_05_60
19,93_05_72
20,93_06_04
21,93_06_23
22,93_06_40
23,93_06_48
24,93_06_70
25,93_06_82
26,93_06_95
27,93_07_08
28,93_07_31
29,93_07_69
30,93_08_05
31,93_08_18
32,93_08_25
33,93_08_30
34,93_08_73
35,93_09_21
36,93_09_43
37,93_09_62
38,93_09_73
39,93_09_86
40,93_10_59
41,93_10_67
42,93_11_01
43,93_11_09
44,93_11_56
45,93_11_68
46,93_11_75
47,93_11_77
48,93_11_87
49,93_12_03
50,93_12_18
51,93_12_19
52,93_12_72
53,93_12_75
54,93_12_79
55,93_12_84
56,93_13_38
57,93_13_43
58,93_13_60
59,93_14_13
60,93_14_25
61,93_14_34
62,93_14_59
63,93_14_65
64,93_14_79
65,93_15_04
66,93_15_24
67,93_15_40
68,93_15_52
69,93_15_65
70,93_15_73
71,93_15_80
72,93_15_85
73,93_16_06
74,93_16_30
75,93_16_39
76,93_16_76
77,93_16_87
78,93_17_06
79,93_17_34
80,93_17_44
81,93_18_05
82,93_18_11
83,93_18_22
84,93_18_52
85,93_18_61
86,93_19_29
87,93_19_42
88,93_19_94
89,93_20_01
90,93_20_08
91,93_20_12
92,93_20_16
93,93_20_18
94,93_20_27
95,93_20_56
96,93_20_79
97,93_21_02
98,93_21_13
99,93_21_23
100,93_21_35
101,93_21_59
102,93_21_72
103,93_21_81
104,93_22_02
105,93_22_32
106,93_22_36
107,93_22_49
108,93_22_51
109,93_22_83
110,93_22_96
111,93_23_13
112,93_23_36
113,93_23_51
114,93_23_89
115,93_23_92
116,93_24_03
117,93_24_11
118,93_24_36
119,93_24_60
120,93_24_64
121,93_24_77
122,93_25_28
123,93_25_30
124,93_25_33
125,93_25_40
126,93_25_61
127,93_25_64
128,93_25_65
129,93_25_80
130,93_26_13
131,93_26_31
132,93_26_35
133,93_26_40
134,93_26_67
135,93_26_84
136,93_27_58
137,93_27_63
138,93_27_65
139,93_27_76
140,93_28_24
141,93_28_74
142,93_29_13
143,93_29_27
144,93_29_45
145,93_29_76
146,93_29_86
147,93_30_17
148,93_30_21
149,93_30_36
150,93_30_45
151,93_30_48
152,93_30_53
153,93_30_70
154,93_30_81
155,93_30_89
156,93_31_21
157,93_31_75
158,93_31_83
159,93_31_91
160,93_31_94
161,93_32_06
162,93_32_10
163,93_32_13
164,93_32_39
165,93_32_48
166,93_32_54
167,93_32_66
168,93_32_77
169,93_33_07
170,93_33_10
171,93_33_23
172,93_33_37
173,93_33_62
174,93_33_69
175,93_33_77
176,93_34_08
177,93_34_25
178,93_34_26
179,93_34_66
180,93_34_71
181,93_34_73
182,93_34_85
183,93_35_08
184,93_35_15
185,93_35_21
186,93_35_42
187,93_35_58
188,93_35_71
189,93_35_79
190,93_36_24
191,93_36_34
192,93_36_40
193,93_36_42
194,93_36_62
195,93_36_89
196,93_36_91
197,93_37_15
198,93_37_23
199,93_37_36
200,93_37_59
201,93_37_83
202,93_38_23
203,93_38_26
204,93_38_37
205,93_38_56
206,93_38_70
207,93_38_83
208,93_38_89
209,93_39_21
210,93_39_25
211,93_39_78
212,93_40_19
213,93_40_20
214,93_40_26
215,93_40_29
216,93_40_42
217,93_40_53
218,93_40_71
219,93_40_80
220,93_40_83
221,93_41_26
222,93_41_27
223,93_41_92
224,93_42_36
225,93_42_48
226,93_42_70
227,93_42_75
228,93_42_79
229,93_42_82
230,93_42_84
231,93_42_88
232,93_43_02
233,93_43_13
234,93_43_24
235,93_43_28
236,93_43_30
237,93_43_37
238,93_43_65
239,93_44_04
240,93_44_40
241,93_44_58
242,93_44_69
243,93_45_17
244,93_45_31
245,93_45_66
246,93_45_67
247,93_45_94
248,93_46_38
249,93_46_44
250,93_46_52
251,93_46_58
252,93_46_71
253,93_46_80
254,93_46_86
255,93_47_38
256,93_47_81
257,93_48_31
258,93_48_52
259,93_48_95
260,93_49_29
261,93_49_40
262,93_49_49
263,93_49_52
264,93_50_36
265,93_50_43
266,93_50_56
267,93_50_68
268,93_50_69
269,93_50_73
270,93_50_75
271,93_50_80
272,93_51_30
273,93_51_32
274,93_51_33
275,93_51_39
276,93_51_51
277,93_51_91
278,93_52_14
279,93_52_15
280,93_52_79
281,93_52_89
282,93_53_16
283,93_53_38
284,93_53_55
285,93_53_60
286,93_53_83
287,93_53_84
288,93_54_02
289,93_54_32
290,93_55_08
291,93_55_39
